,team_name,X,Y,Z,tick,steamid,name
6,TERRORIST,-1835.9001,-966.85925,11488.031,147076,76561198307734468,rdn---
7,CT,-1561.8197,818.4788,11785.031,147076,76561198377335846,snow_-_
8,TERRORIST,-1925.467,-1228.9172,11551.769,147076,76561198809462276,koaLx
9,TERRORIST,-1782.4971,-991.74866,11488.031,147076,76561198858681422,pepe--
0,CT,-1278.494,317.13107,11776.031,147140,76561198350342505,nqz-
1,CT,-998.87225,244.59459,11776.031,147140,76561198074017668,lux1-
2,CT,-1093.2511,440.40482,11777.031,147140,76561198015308884,biguzera-
3,CT,-1092.7332,181.82768,11776.031,147140,76561198385657675,kauez_
4,TERRORIST,-1692.9531,-856.677,11488.031,147140,76561198095896540,docz1n
5,TERRORIST,-1766.7981,-909.1177,11488.031,147140,76561198135228658,gafolo
6,TERRORIST,-2037.7726,-824.52716,11488.031,147140,76561198307734468,rdn---
7,CT,-1801.608,855.51807,11776.031,147140,76561198377335846,snow_-_
8,TERRORIST,-2124.3909,-1132.8973,11645.586,147140,76561198809462276,koaLx
9,TERRORIST,-1643.7568,-817.3208,11488.031,147140,76561198858681422,pepe--
0,CT,-1516.6146,309.46442,11776.031,147204,76561198350342505,nqz-
1,CT,-947.29083,0.8498626,11776.031,147204,76561198074017668,lux1-
2,CT,-1073.7454,212.06728,11776.031,147204,76561198015308884,biguzera-
3,CT,-1024.3339,-5.78479,11776.031,147204,76561198385657675,kauez_
4,TERRORIST,-1587.2064,-642.7779,11488.031,147204,76561198095896540,docz1n
5,TERRORIST,-1604.4513,-736.1071,11488.031,147204,76561198135228658,gafolo
6,TERRORIST,-2221.0115,-666.9948,11488.031,147204,76561198307734468,rdn---
7,CT,-2040.9181,926.97766,11776.031,147204,76561198377335846,snow_-_
8,TERRORIST,-2177.5264,-893.59937,11765.235,147204,76561198809462276,koaLx
9,TERRORIST,-1553.5912,-587.6849,11488.031,147204,76561198858681422,pepe--
0,CT,-1649.3502,259.3425,11776.031,147268,76561198350342505,nqz-
1,CT,-885.0044,-241.25269,11776.031,147268,76561198074017668,lux1-
2,CT,-1282.7432,173.79936,11776.031,147268,76561198015308884,biguzera-
3,CT,-987.73114,-248.63965,11776.031,147268,76561198385657675,kauez_
4,TERRORIST,-1511.4869,-407.66626,11488.031,147268,76561198095896540,docz1n
5,TERRORIST,-1541.3137,-494.74353,11488.031,147268,76561198135228658,gafolo
6,TERRORIST,-2182.0723,-559.1563,11488.031,147268,76561198307734468,rdn---
7,CT,-2272.8083,865.9529,11744.031,147268,76561198377335846,snow_-_
8,TERRORIST,-2188.7744,-721.9365,11776.031,147268,76561198809462276,koaLx
